Title,Rating,Overview
Suits,8.4,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers."
The Sopranos,9.2,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
The Simpsons,8.7,The satiric adventures of a working-class family in the misfit city of Springfield.
Attack on Titan,9.1,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
Dark,8.7,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Mr. Robot,8.5,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
South Park,8.7,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
Fargo,8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
The Flash,7.5,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City."
The Wire,9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
Family Guy,8.2,"In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another."
Homeland,8.3,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
Death Note,8.9,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Loki,8.2,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”
Lucifer,8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
Brooklyn Nine-Nine,8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
Avatar: The Last Airbender,9.3,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
The Lord of the Rings: The Rings of Power,7.0,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth."
Seinfeld,8.9,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
The Vampire Diaries,7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
House of the Dragon,8.5,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
Ozark,8.5,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
American Horror Story,8.0,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert valley, and NYC."
Wednesday,8.1,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart a killing spree, and solve the mystery that embroiled her parents."
Grey's Anatomy,7.6,A drama centered on the personal and professional lives of five surgical interns and their supervisors.
Arrested Development,8.7,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Orange Is the New Black,8.1,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be."
Mindhunter,8.6,"In the late 1970s, two FBI agents broaden the realm of criminal science by investigating the psychology behind murder and end up getting too close to real-life monsters."
Sons of Anarchy,8.6,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
Sex Education,8.3,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
13 Reasons Why,7.5,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life."
Aspirants,9.2,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.
Ted Lasso,8.8,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team."
You,7.7,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
Community,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
Firefly,9.0,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Parks and Recreation,8.6,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
Two and a Half Men,7.1,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.
The Blacklist,8.0,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
Hannibal,8.5,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.
The 100,7.6,"Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet."
Scrubs,8.4,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life."
The Umbrella Academy,7.9,"A family of former child heroes, now grown apart, must reunite to continue to protect the world."
Shameless,8.6,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
True Blood,7.9,"Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire."
Fringe,8.4,An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena.
The Punisher,8.5,"After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher""."
Mad Men,8.7,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
Spartacus,8.5,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
The Handmaid's Tale,8.4,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
Futurama,8.5,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999."
Heroes,7.5,Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.
It's Always Sunny in Philadelphia,8.8,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
The X-Files,8.6,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
Gotham,7.8,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
New Girl,7.8,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time."
Arcane,9.0,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart."
Doctor Who,8.6,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
The Crown,8.6,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
Once Upon a Time,7.7,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.
Agents of S.H.I.E.L.D.,7.5,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
Jessica Jones,7.9,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
Succession,8.9,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
Downton Abbey,8.7,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
Big Little Lies,8.5,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.
Euphoria,8.3,"A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence."
Criminal Minds,8.1,A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.
Twin Peaks,8.8,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
The End of the F***ing World,8.0,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father."
Boardwalk Empire,8.6,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
Cobra Kai,8.5,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
The Mentalist,8.2,"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter."
24,8.4,Counter Terrorism Agent Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.
Californication,8.3,"A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women."
That '70s Show,8.1,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin."
Yellowstone,8.7,A ranching family in Montana faces off against others encroaching on their land.
Person of Interest,8.5,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery."
Gossip Girl,7.5,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.
"Love, Death & Robots",8.4,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
Fullmetal Alchemist: Brotherhood,9.1,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
Altered Carbon,7.9,"Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom."
She-Hulk: Attorney at Law,5.3,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk."
Rome,8.7,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.
The White Lotus,7.9,The exploits of various guests and employees of a tropical resort over the span of a week.
Fleabag,8.7,Series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
The Good Place,8.2,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
Entourage,8.5,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.
Pretty Little Liars,7.4,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend."
One Punch Man,8.7,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
BoJack Horseman,8.8,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
Battlestar Galactica,8.7,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth."
Outlander,8.4,"Claire Beauchamp Randall, a nurse in World War II, mysteriously goes back in time to Scotland in 1743. There, she meets a dashing Highland warrior and gets drawn into an epic rebellion."
Castle,8.1,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes."
Bones,7.8,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
The Heroes,8.4,The moral stories of a group of champions (Pahlevanan) living in Kharazm city in 13th century.
The Expanse,8.5,"The disappearance of rich-girl-turned-political-activist links the lives of Ceres detective, accidental ship captain and U.N. politician. Amidst political tension between Earth, Mars and the Belt, they unravel the greatest conspiracy."
Severance,8.7,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs."
Archer,8.6,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
The Sandman,7.7,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment."
How to Get Away with Murder,8.1,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.
The IT Crowd,8.5,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
Sense8,8.2,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order."
Silicon Valley,8.5,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Invincible,8.7,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
Teen Wolf,7.7,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.
The Last Kingdom,8.5,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright."
Jack Ryan,8.0,"Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments."
NCIS,7.8,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team."
Buffy the Vampire Slayer,8.3,"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends."
Bridgerton,7.4,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's best selling novels.
Glee,6.8,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.
This Is Us,8.7,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents."
One Piece,8.9,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece""."
Riverdale,6.5,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
Scam 1992: The Harshad Mehta Story,9.3,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall."
Luther,8.4,DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.
Freaks and Geeks,8.8,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
After Life,8.4,"After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm."
Reacher,8.1,Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.
Taboo,8.3,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost--even murder."
Chuck,8.2,"When a computer geek inadvertently downloads critical government secrets into his brain, both the CIA and the NSA assign an agent to protect him and exploit his newfound skills."
Andor,8.4,"Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero."
The Originals,8.3,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.
The Fresh Prince of Bel-Air,7.9,"A streetwise, poor young man from Philadelphia is sent by his mother to live with his aunt, uncle and cousins in their Bel-Air mansion."
Naruto: Shippuden,8.7,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Six Feet Under,8.7,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.
Dragon Ball Z,8.8,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
Malcolm in the Middle,8.2,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family."
Fear the Walking Dead,6.8,"A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse."
Gilmore Girls,8.2,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut."
White Collar,8.2,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman."
Bodyguard,8.1,Troubled war veteran turned Police Sergeant David Budd is assigned to protect controversial Home Secretary Julia Montague.
Luke Cage,7.3,"When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must confront his past and fight a battle for the heart of his city."
Iron Fist,6.4,A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.
Curb Your Enthusiasm,8.8,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.
Desperate Housewives,7.6,Secrets and truths unfold through the lives of female friends in one suburban neighborhood after the mysterious suicide of a neighbor.
Sex and the City,7.3,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.
Smallville,7.5,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas."
The Marvelous Mrs. Maisel,8.7,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?"
Schitt's Creek,8.5,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues."
The Sinner,7.9,Detective Harry Ambrose investigates various atrocious murder cases and tries to analyze the reasons behind ordinary people committing heinous crimes.
American Dad!,7.4,"The escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe."
Star Trek: The Next Generation,8.7,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before."
Cowboy Bebop,8.9,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
Star Trek: Discovery,7.1,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien."
The Legend of Korra,8.4,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.
30 Rock,8.3,"Liz Lemon, head writer of the sketch-comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star while trying to run a successful television show without losing her mind."
Supergirl,6.2,The adventures of Superman's cousin and her own superhero career.
What If...?,7.4,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory."
Penny Dreadful,8.2,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London."
Mr. Bean,8.6,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems."
Demon Slayer: Kimetsu no Yaiba,8.7,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
Killing Eve,8.1,"After a series of events, the lives of a security operative and an assassin become inextricably linked."
Grimm,7.9,A homicide detective discovers he is a descendant of hunters who fight supernatural forces.
Lie to Me,8.0,"About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies."
Peacemaker,8.3,"Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price."
Top Gear,8.7,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all."
Revenge,7.8,An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.
King the Land,2.0,"The hotel heir and the best employee twisted to change the standard of service and undertook to implement the concept ""You will be sincerely smiled at in King"". King is the name of the company and a metaphor for addressing guests as kings."
Gravity Falls,8.9,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
The Newsroom,8.6,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor."
Dhindora,8.8,"It revolves around Bhuvan and his family's everyday lives, when an unexpected purchase leads to a series of events and depicts every common man's larger than life dreams."
Broadchurch,8.4,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart."
Lupin,7.5,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
The Office,8.5,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.
The Killing,8.3,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car."
Only Murders in the Building,8.1,Three strangers bonded by their love of true crime podcasts record their own to accompany their investigations of murders in their building on the Upper West Side of New York.
Law & Order: Special Victims Unit,8.1,"This series follows the Special Victims Unit, a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes."
Elementary,7.9,"A crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London, eccentric Sherlock escapes to New York where his father forces him to live with his worst nightmare - a sober companion, Dr. Watson."
Hunter x Hunter,9.0,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger."
Weeds,7.9,"When a suburban mother turns to dealing marijuana in order to maintain her privileged lifestyle after her husband dies, she finds out just how addicted her entire neighborhood already is."
Orphan Black,8.3,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.
Naruto,8.4,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja."
Bates Motel,8.1,"A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is."
The Bear,8.5,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.
Deadwood,8.6,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime."
The Fall,8.1,A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.
Banshee,8.4,"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business."
The Morning Show,8.2,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the team."
The Wheel of Time,7.1,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan."
Batman: The Animated Series,9.0,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Under the Dome,6.5,"An invisible and mysterious force field descends upon a small actual town of Chester's Mill, Maine, USA, trapping residents inside, cut off from the rest of civilization. The trapped townspeople must discover the secrets and purpose of the ""dome"" or ""sphere"" and its origins, while coming to learn more than they ever knew about each other and animals too."
The OA,7.8,"Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous."
Barry,8.4,A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.
Black Sails,8.2,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island."""
Star Wars: The Clone Wars,8.4,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
Titans,7.5,"Dick and Rachel, a girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a team of heroes."
Emily in Paris,6.9,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
